Claim,Evidence,label
We should ban private education,Public higher education institutions (which are partially funded through state government appropriation) and private higher education institutions (which are funded exclusively through tuition and private donations) offer both grant and loan financial assistance programs.,0
We should abolish primary elections,"President Bill Clinton highlighted the importance of the state for the Clinton campaign saying on March 11 at an event in Western Pennsylvania that ""If she wins a big, big victory in Pennsylvania, I think it'll give her a real big boost going into the next primaries..",0
The use of AI should be abandoned,"In the same month, business magnate Elon Musk made headlines by agreeing with the book that artificial intelligence is potentially more dangerous than nuclear weapons [REF].",1
We should abolish the attorney-client privilege,"Through its decision, the court ruled on two key issues which concluded that there should be a ""reasonable"" expectation of privacy in personal e-mails on company computers, and that attorney-client communication privileges and privacy should not be violated [REF].",1
We should cancel the Affordable Care Act,"Even if the individual mandate is ""necessary"" to the Affordable Care Act's other reforms, such an expansion of federal power is not a ""proper"" means for making those reforms effective.""[REF] .",0
We should ban gambling,The Act begins with Congress's findings and purpose. Findings include a recommendation from the National Gambling Impact Study Commission. One of the controversial findings asserted in the opening of the bill is the assertion that Internet gambling is a growing problem for banks and credit card companies [REF,1
We should disband the United Nations,"Patel strongly advised Nehru against going for arbitration to the United Nations, insisting that Pakistan had been wrong to support the invasion and the accession to India was valid.",0
We should abolish primary elections,"The Clinton campaign had continued to criticize Senator Obama's inexperience with what one Clinton aide called the ""kitchen sink"" strategy - throwing everything at Obama in the days leading up to the March 4 primaries in Ohio and Texas [REF].",0
We should increase government regulation,"The Trump OMB released an analysis on February 23, 2018 indicating that the economic benefits of regulations significantly outweigh the economic costs [REF].  ",1
Community service should be mandatory,"Brown's speech to the Fabian Society's Britishness Conference proposed that British values demand a new constitutional settlement and symbols to represent a modern patriotism, including a new youth community service scheme and a British Day to celebrate [REF].",0
We should limit the freedom of speech,"The Declaration provides for freedom of expression in Article 11, which states that: The free communication of ideas and opinions is one of the most precious of the rights of man.",1
Tattoos should be banned,"Dermatologists have observed rare but severe medical complications from tattoo pigments in the body, and have noted that people acquiring tattoos rarely assess health risks prior to receiving their tattoos.",0
We should not subsidize cultivation of tobacco,"Unfortunately working often beats education because tobacco farmers, especially in the developing world, cannot make enough money from their crop to survive without the cheap labor that children provide.",0
exposure to violent video games causes at least a temporary increase in aggression and that this exposure correlates with aggression in the real world,"In September 2007 in Ohio, 16-year-old Daniel Petric snuck out of his bedroom window to purchase the game Halo 3 against the orders of his father, a minister at New Life Assembly of God in Wellington, Ohio, U.S [REF]. His parents eventually banned him from the game after he spent up to 18 hours a day with it, and secured it in a lockbox in a closet where the father also kept a 9mm handgun, according to prosecutors [REF]. In October 2007, Daniel used his father's key to open the lockbox and remove the gun and the game. He then entered the living room of his house and shot both of them in the head, killing his mother and wounding his father",1
We should subsidize public transportation,"The problem is illustrated by an estimation that 70% of entry level jobs are located in the suburbs, while only 32% of those jobs are within a quarter mile of public transportation [REF].",0
"less intrusive options, including those that emphasized delay and spacing of births, could have achieved the same results over an extended period of time","Between 1970 and 1979, the largely voluntary ""late, long, few"" policy, which called for later childbearing, greater spacing between children, and fewer children, had already resulted in a halving of the total fertility rate, from 5.9 to 2.9",1
We should ban gambling,The ruling was made because of the allowance of another form of gambling: the state lottery [REF]. This ruling plainly recognized the sovereign rights of Indian tribes living on reservations.,0
We should subsidize Wikipedia,James Taranto of The Wall Street Journal reported that the quotes may have originated in September 2005 from a blogger who initially discovered them on a Wikipedia page [REF].,0
We should raise the retirement age,Some pension plans will provide for members in the event they suffer a disability. This may take the form of early entry into a retirement plan for a disabled member below the normal retirement age.,0
We should ban herbal medicine,"Spirit healers are also important for many groups, in some cases using medicinal plants but often relying on rituals to identify a disease and effect a cure.",0
We should ban herbal medicine,"Herbals have seen a modest revival in the western world since the last decades of the 20th century, as herbalism and related disciplines (such as homeopathy and aromatherapy) became popular forms of alternative medicine [REF].",1
We should abolish anti-social behavior orders,"At the time of the murders, police had no evidence for an Anti-Social Behaviour Order [REF].",0
We should protect whistleblowers,"USF1 officially withdrew from the championship in early March, following months of speculation and accusations from whistleblowers that the team had been crippled by mismanagement for months [REF].",0
We should ban organic food,"The disparity between production and demand, is leading to a two-tier organic food industry, typified by significant and growing imports of primary organic products such as dairy and beef from Australia, Europe, New Zealand and the United States [REF].",0
We should subsidize public transportation,"public transport projects frequently have very large upfront costs, requiring large investments from either local government or private investors.",1
We should abandon feminism,"Faludi's 1991 book Backlash: The Undeclared War Against American Women argued that the 1980s saw a backlash against feminism, especially due to the spread of negative stereotypes against career-minded women.",0
We should adopt multiculturalism,"Andrew Griffith argues that, ""89 percent of Canadians believe that foreign-born Canadians are just as likely to be good citizens as those born in Canada...But Canadians clearly view multiculturalism in an integrative sense, with an expectation that new arrivals will adopt Canadian values and attitudes.""",1
Casinos should be banned,"The Nevada State Gaming Control Board consulted with the U.S. Treasury, and casinos were soon allowed to start using their own tokens to operate their slot machines.",0
We should protect Antarctica,"As almost all animal inhabitants of Antarctica are forced to migrate, the sea underneath the ice still provides a home to many specially adapted fish whose cells are protected from freezing through an inherent ""antifreeze"".",0
Hunting should be banned,"The new National Park Service agency used predator control agents from the bureau to trap wolves, coyotes, and mountain lions within park boundaries.",0
Tattoos should be banned,"Assad has acquired numerous tattoos through his life, including; a portrait of Malcolm X on the upper left portion of his chest,[REF][REF] the sarcophagus of King Tut and pyramids on his left upper biceps,[REF] the legend ""Monte Cristo"" along with the phrase ""The best revenge is living well"" in script on his right forearm (both references to the book The Count of Monte Cristo),[REF] and an Eye of Horus on the back of his left arm [REF].",0
We should ban male infant circumcision,Male circumcision and HIV: Some research has suggested that male circumcision can reduce the risk of HIV infection in some countries.,1
We should ban abortions,"According to WHO and Guttmacher, approximately 68,000 women die annually as a result of complications of unsafe abortion; and between two million and seven million women each year survive unsafe abortion but sustain long-term damage or disease (incomplete abortion, infection (sepsis), haemorrhage, and injury to the internal organs, such as puncturing or tearing of the uterus). They also concluded abortion is safer in countries where it's legal",1
We should introduce compulsory voting,"Another argument against compulsory voting, prevalent among legal scholars in the United States, is that it is essentially a compelled speech act, which violates freedom of speech because the freedom to speak necessarily includes the freedom not to speak [REF].",1
We should adopt mobile payments,"Osborne Clarke was awarded with the TMT Law firm of the Year awarded at The Lawyer Awards June 2012, for their work in advising mobile provider Everything Everywhere on launching the first mobile payments product [REF].",0
We should introduce school vouchers,"Granted a free voucher housing that benefited low-income families, but the social sector (health, education and public safety), suffered a deterioration.",0
We should increase internet censorship,"For as long as there has been Internet access in Saudi Arabia, Internet censorship has been widespread.",0
We should abolish the United Nations Security Council veto power,"Under Article 27 of the UN Charter, Security Council decisions on all substantive matters require the affirmative votes of nine members.",0
We should disband NATO,"Putin argues that as new NATO members have not even signed the treaty so far, an imbalance in the presence of NATO and Russian armed forces in Europe creates a real threat and an unpredictable situation for Russia [REF].",0
The vow of celibacy should be abandoned,"The Catholic Church's requirement of a vow of celibacy from Latin Church priests (while allowing very limited individual exceptions) is criticized for differing from Protestant changes issuing from the Protestant Reformation, which apply no limitations, and even from the practice of the ancient Eastern Orthodox Church and Eastern Catholic Churches.",0
We should ban free newspapers,"In Autumn 2005 Daily Mail and General Trust revealed a plan to launch a free newspaper in the Dublin market, entitled Metro.",0
We should fight global warming,"Nested structures of governance balancing the principles of irreducibility (i.e., the notion that certain problems can only be addressed at the global level, such as global warming) and subsidiarity (i.e., the notion that decisions should be made at as local a level possible) would thus form the basis for a cosmopolitan political order [REF].",0
We should subsidize distance education,"In addition, the CPE was to oversee the formation of a ""Commonwealth Virtual University"" that would serve as a clearinghouse for all the distance learning opportunities offered by the colleges and universities of Kentucky.",0
We should legalize doping in sport,"A report by a joint International Swimming Federation and Olympic Council of Asia delegation to Beijing in 1995 concluded that ""there is no evidence that the Chinese are systematically doping athletes"" [REF].",0
We should ban school uniforms,"school uniforms were officially abolished on 27 November 2012, when the Turkish Ministry of Education suddenly abolished the nationwide uniform requirement in schools (international/foreign schools are excluded) and lifted the headscarf ban for religious imam-hatip schools, prompting fierce criticism from opposition parties, unions and educators.",0
We should legalize prostitution,"[REF] Ethnographical research on street prostitution, done by Alexandra Oliveira, of University of Porto [REF] has led the researcher to argue that prostitution should be legalized to improve the situation of the women [REF].",1
We should abolish the attorney-client privilege,"Rouse sued his attorney in 2005 for releasing the tapes, claiming that it breached the attorney-client privilege (though that privilege doesn't apply when an attorney knows about potential criminal activity); the suit is still pending.",0
We should subsidize journalism,Fieldstead has funded other Christian journalistic projects such as Gegrapha[REF] and GetReligion.,0
We should disband the United Nations,"The breakup of the Soviet Union has also left the United States in a unique position of global dominance, creating a variety of new problems for the UN (See the United States and the United Nations).",0
Holocaust denial should be a criminal offence,"Former American President Bill Clinton praised Project Aladdin, saying that it ""has the potential to play a vital role in countering denial with facts and putting a human face on something that otherwise might seem too terrible to believe.""[REF] .",0
We should subsidize public transportation,"The service allows for public transport information, such as upcoming departures, service changes and SmartRider balances, to be obtained on a WAP-compatible mobile phone.",0
We should cancel the speed limit,"Vehicle speeds significantly reduced immediately after the system was installed, the average being reduced by 5-6 mph and the number of drivers exceeding the speed limit by 80% or more in some areas [REF].",0
We should further exploit natural gas,"The increase of mineral outputs (content) was mainly led by natural gas (77%), molybdenum (22%), gold (20%), crude oil (18%), and iron (8%), and to a lesser extent by silver and lead (4% each) compared with 2005 outputs.",0
We should subsidize higher education,"Second, states with a more liberal political ideology give more funding to higher education.",1
Community service should be mandatory,Gardening From The Heart[REF] provides community services for projects that benefit disadvantaged and aging gardeners.,0
We should lower the drinking age,"The temporal nature of this exclusion and the stress associated with establishing a social network in an unfamiliar environment creates intense pressure for underage students to either find ways to subvert the Ontario drinking laws (by purchasing fake IDs, using real IDs of other people, or drinking in private residences with ill-gotten alcohol) or sacrifice relationships with those of legal drinking age [REF].",0
We should adopt socialism,"While the protests lacked a unified cause or leadership, participants raised the issue of corruption within the government and some voiced calls for economic liberalization[REF] and democratic reform[REF] within the structure of the government while others called for a less authoritarian and less centralized form of socialism [REF].",0
Affirmative action is intended to promote  equal opportunity,"One example is the police, who give women and people from other cultural and ethnic backgrounds concessions when it comes to testing for entrance to the police academy",1
We should further exploit sustainable energies,"""China has a excellent track record of achieving gains in energy efficiency and has begun to ramp up its efficiency efforts and aggressively expand its carbon-free electricity targets (recently committing, for instance, to triple its wind goal to 100,000 MW by 2020)... will the United States be a global leader in creating jobs and exports in clean energy technologies or will we be importing them from Europe, Japan, and the likely clean energy leader in our absence, China""? .",0
We should abolish standardized tests,"States all over the United States have shown improvements in their progress as an apparent result of NCLB. For example, Wisconsin ranks first of all fifty states plus the District of Columbia, with ninety-eight percent of its schools achieving No Child Left Behind standards [REF",1
We should disband NASA,"NASA does not include the basic Space Shuttle program costs in the expenses incurred for the ISS program, despite the fact that the Space Shuttle has been nearly exclusively used for ISS construction and supply flights since December 1998.",0
We should abolish marriage,"Similarly, Glenn and Marquardt report in their study that 83% of the women surveyed ranked marriage as an important goal in life [REF].",1
We should legalize the growing of coca leaf,"One of the most valued artifacts of Pre-Columbian goldwork is the so-called Poporo Quimbaya, a small (23.5 × 11.4 cm), hollow, devotional object (used to mambeo or coca leaf chewing ritual) made of gold whose aesthetic harmony, simple elegance, and mathematical symmetry are striking and almost modern.",0
We should abolish the double jeopardy defense,"Kaufman's sentence was upheld as valid and final, due to the Fifth Amendment protection against double jeopardy [REF].",0
We should increase ecotourism,"Eco-tourism is a rising economic activity in the state, specially in localities situated on the several Serras (highlands) that exist in Minas Gerais.",0
We should cancel the Social Security tax,Critics of Social Security have said that the politicians who created Social Security exempted themselves from having to pay the Social Security tax [REF].,0
We should adopt direct democracy,"Itself a product of the Progressive Era reforms, the constitution adopted by Arizona upon admission to the Union in 1912 reflects the sentiment that direct democracy was sacred.",0
We should ban alternative medicine,Alternative medicine practices are diverse in their foundations and methodologies [REF].,0
We should further exploit natural gas,The planned Nabucco Pipeline will also pass from Turkey and provide the European Union member states with natural gas from the Caspian Sea basin.,0
We should end daylight saving times,"Proponents of DST generally argue that it saves energy, promotes outdoor leisure activity in the evening (in summer), and is therefore good for physical and psychological health, reduces traffic accidents, reduces crime or is good for business.",1
We should abolish zoos,The zoo has been recognised for providing sustainable tourism and was one of the first few British zoos to gain an ISO 14001 certificate for its environmental management systems along with a recent Gold award for GTBS Green Tourism Business Scheme[,1
We should protect whistleblowers,"Courson, who became one of professional sports' first steroids whistleblowers by detailing his use in a 1985 Sports Illustrated interview, wrote the letter to a former Pittsburgh Steelers teammate he played with on Super Bowl-winning teams in 1978 and 1979.",0
We should disband NASA,"On July 29, 1958, the US Congress passed legislation turning the National Advisory Committee for Aeronautics (NACA) into the National Aeronautics and Space Administration (NASA) with responsibility for the nation's civilian space programs.",0
We should abandon television,"Critics have often described the show in literary terms: the New York Times calls it ""literary television;"" TV Guide calls it ""TV as great modern literature;"" the San Francisco Chronicle says the series ""must be considered alongside the best literature and filmmaking in the modern era;"" and the Chicago Tribune says the show delivers ""rewards not unlike those won by readers who conquer Joyce, Faulkner or Henry James.""[REF][REF][REF][REF]",0
We should ban organic food,"The New York Times commented on Dennis Avery's attacks on organic farming: ""The attack on organic food by a well-financed research organization suggests that, though organic food accounts for only 1 percent of food sales in the United States, the conventional food industry is worried.""[REF] .",0
We should legalize insider trading,"Whitehouse has faced some criticism for alleged insider trading, avoiding big losses by trading stocks after top federal officials warned congressional leaders of ""the coming economic cataclysm"" in September 2008 [REF].",0
Big governments should be abandoned,"The 1994 mid-term election became, in the opinion of one media observer, a ""referendum on big government - Hillary Clinton had launched a massive health-care reform plan that wound up strangled by its own red tape.""[REF]",0
We should further exploit geothermal energy,"In the 1950s, McCulloch started McCulloch Oil Corporation, which pursued oil and gas exploration, land development, and geothermal energy.",0
Single-sex schools should be banned,The Guizot Laws passed in 1833 obliged all communes to open boys' schools [REF].,0
We should fight urbanization,"A specific concern is urbanization, which affects water quality by increasing its load of metals and organic contaminants [REF].",0
We should legalize prostitution,Forced prostitution and prostitution connected to organized crime are prohibited.,1
Suicide should be a criminal offence,"On September 19, it was reported that local Coronado author Kathleen McKenna would be writing a book on the case; McKenna expressed doubts that Zahau's death was a suicide [REF].",0
Holocaust denial should be a criminal offence,"Many Holocaust deniers do not accept the term ""denial"" as an appropriate description of their point of view, and use the term Holocaust revisionism instead.",0
Private universities should be banned,"Generally, private universities charge much higher tuition than their public counterparts, which rely on state funds to make up the difference.",0
We should subsidize embryonic stem cell research,"The book considers the intersection of society and biotechnology in areas such as embryonic stem cell research, reproductive cloning, and synthetic biology, and demonstrates how biology and society have shaped each other into modern-day biopolitics.",0
The free market should be protected,"Particularly hostile were followers of Robert Muldoon, a traditionalist conservative who opposed free market reforms as undermining state authority.",0
We should ban abortions,"John DiNardo, a professor at the University of Michigan, retorts that the paper cited by Freakonomics states ""virtually the opposite of what is actually claimed"": On average, children born in 1967 just after abortions became illegal display better educational and labor market achievements than children born prior to the change. This outcome can be explained by a change in the composition of women having children: urban, educated women were more likely to have abortions prior to the policy change, so a higher proportion of children were born into urban, educated households. (Pop-Eleches, 2002, p.34). John DiNardo",1
We should subsidize public transportation,"In his ruling, Supreme Court Justice Elyakim Rubinstein wrote: ""A public transportation company (like any other person) cannot say, ask or order women where to sit on a bus simply because they are women, nor what they should wear, and they are entitled to sit anywhere they wish.",0
We should disband UNESCO,"Among Hartman's publications are the report on Value Theory for the Institut International de Philosophis 1949-1955, published by UNESCO; his magnum opus The Structure of Value (1967 Southern Illinois University Press); and at the time of his death in 1973 he was working on a manuscript entitled The Measurement of Value.",0
We should ban fast food,The lack of healthy food options forces these residents to purchase and consume energy dense food options such as meals from fast-food restaurants [REF].,0
We should ban whaling,"When the activists arrived at the Soviet whaling station village of Loren they quickly discovered that the whaling operation had been dedicated to producing feed for a commercial mink farm, complete with non-aboriginal blonde haired, blue eyed Russian workers.",0
Single-sex schools should be banned,"Extensive investigation led faculty, administration and board members to conclude that coeducation was preferable to single-sex education in many respects.",0
We should prohibit corporal punishment,"The law change has been described by supporters as aimed at making 'Aotearoa New Zealand [ .. ] a place where children are secure, confident, understand limits and boundaries and behave well - without physical punishment' and to 'protect children from assault' [REF].",1
We should ban private education,"Private secondary schools in Kenya are generally high cost, offering students an alternative system of education with better or more luxurious facilities compared to public schools.",1
We should abandon feminism,"Despite the connections between the women's and civil rights movements, some tension arose during the late 1960s and early 1970s as non-white women argued that feminism was predominantly white and middle class, and did not understand and was not concerned with race issues [REF].",0
We should ban alcoholic beverages,Research has suggested that the level of alcohol consumption may correlate with the level of perceived bitterness of ethanol; those people who find PROP to be more bitter also find the taste of ethanol to be less pleasant.,0
We should fight urbanization,"Davis and Golden did not see overurbanization as an inherently negative phenomenon, but as a statistical fact that would likely correct itself, as ""urbanization will fall off sharply or industrialization will gain a new impetus.""[REF]",1
We should abandon social media,"On 25 August 2011 British officials and representatives of Twitter, Facebook and BlackBerry met privately to discuss voluntary ways to limit or restrict the use of social media to combat crime and periods of civil unrest [REF].",0
We should ban whaling,Anti-whaling campaigners claim that the Japanese public does not support the government for its whaling policy [REF].,1
We should abolish intelligence tests,"Boomsma has been a pioneer in collecting a broad spectrum of data (e.g., medical histories, IQ tests, MRI scans) and biological material (e.g., DNA and RNA samples, blood and urine samples) from thousands of twins and analyzing them to determine the role of genetics in characteristics as varied as adult height, brain volume, intelligence, migraine headaches, anxiety, drug addiction, and love of coffee.",0
We should ban gambling,The reason for such action was very stringent Italian legislation prohibiting even legitimate European gambling operators to offer their online services in Italy.,0
We should subsidize journalism,"With an income of less than $4.00 a week, George started work in New York as editor of Aufbau and turned it into and important journalistic voice for the Jewish exile community in the post-World War II era, leading him to be called ""a central figure in Jewish journalism of the Hitler and post-Hitler period"" [REF].",0
We should introduce universal health care,"A 2008 survey of doctors, published in Annals of Internal Medicine, shows that physicians support universal health care and national health insurance by almost 2 to 1 [REF].",1
We should ban algorithmic trading,Automated trading systems and electronic trading platforms can execute repetitive tasks at speeds with orders of magnitude greater than any human equivalent.,0
We should abolish the needle exchange programs,"Concerns are often expressed that NSPs may encourage drug use, or may actually increase the number of dirty needles in the community [REF].",1
We should abolish the three-strikes laws,"Caligiuri was the prime sponsor of a proposed Three Strikes Law in Connecticut, which was not adopted in the special session.",0
We should subsidize biofuels,Biofuels offer the prospect of real market competition and oil price moderation.,1
We should subsidize electric cars,The objective of these initiatives is to make new qualifying plug-in electric cars more accessible to buyers by making the incentive more effective.,1
We should fight global warming,Reducing the increase of greenhouse gas emissions from livestock could rapidly curb global warming [REF].,0
We should abolish marriage,"Human rights workers report that one third of men who abduct their wives abandon them, leaving the wife without support and impaired in finding a future marriage [REF].",0
Hunting should be banned,"For both Kluane and Ivvavik parks, indigenous organizations protested and testified to Parliamentary Committees, describing how these restrictions infringed on their ability to provide for themselves through traditional fishing, hunting, and trapping [REF].",0
We should abolish anti-social behavior orders,The local council launched a community house in 2009 to help tackle anti-social behaviour [REF].,0
We should protect whistleblowers,"CNA was also the principal sponsor of numerous other legislation promoting patient safety, including laws requiring whistle-blower protection for hospital employees who report unsafe conditions, barring discrimination based on medical conditions or genetic characteristics, safeguards on who can provide telephone medical advice, and expanded legal protections for patients harmed by HMO abuses.",0
We should disband UNESCO,"The December 2006 conference ""A Multi-Ethnic Russia"" was cosponsored by the Federation Council and UNESCO and included sessions on religious diversity and tolerance.",0
We should limit the use of birth control,Samuel Owens considers that some aspects of a fallen universe may possibly sometimes justify an option to use a non-potentially abortive birth control method.,0
We should abolish primary elections,"In the May 2006 primary election, Folmer defeated Brightbill in one of the largest upsets in Pennsylvania electoral history [REF].",0
We should adopt multiculturalism,"a society which does not respect itself (its Dutch national identity) also has no value for immigrants  multicultural policy ignored Dutch language acquisition, which should be a priority in education.",0
We should ban cosmetic surgery,Pediatric plastic surgery is plastic surgery performed on children.,0
We should legalize polygamy,"Los Angeles Times television critic Mary McNamara said she was intrigued by the matriarchal nature of the polygamist family, a unit that is traditionally considered patriarchal.",0
Bullfighting should be banned,"Customarily, runners run before the bulls to guide them from the pen to the plaza, where the bulls will await the afternoon's bullfight.",0
We should further exploit sustainable energies,Efficiency slows down energy demand growth so that rising clean energy supplies can make deep cuts in fossil fuel use.,1
Holocaust denial should be a criminal offence,"Because of this, critics of Holocaust denial reject the suggestion that Hitler lost interest in anti-semitism after attaining power in 1933, finding it ""hard to believe that a man who had lost his anti-semitism was so interested in situational reports on the killings of Jewish men, women and children while engaged in a war.""[REF] .",0
We should subsidize biofuels,"However, above a few percent,[REF] there would be direct competition between first generation biofuel production and food production. This is one reason why many view second generation biofuels as increasingly important.",1
We should abolish primary elections,Primaries are administered by the State Board of Elections at all established polling places.,0
Tattoos should be banned,"Emperor Constantine I banned tattooing the face around AD 330, and the Second Council of Nicaea banned all body markings as a pagan practice in AD 787 [REF].",0
We should further exploit unconventional oil,"The Nuclear Assisted Hydrocarbon Production Method,[REF] Canadian patent application 2,659,302, is a method for the temporary or permanent storage of nuclear waste materials comprising the placing of waste materials into one or more repositories or boreholes constructed into an unconventional oil formation.",0
We should adopt socialism,"Although Du Bois was not yet familiar with the communist theories of Karl Marx or Vladimir Lenin, he concluded that socialism may be a better path towards racial equality than capitalism [REF].",1
We should ban abortions,"For example, the Republican Party of Utah opposes almost all abortions while Utah Democrats take a more liberal approach, although more conservative than their national counterparts.",0
We should end cheerleading,"Many feel that it is difficult to differentiate between undesirable cheerleading and the more normal spotting activity, and that coming up with well-defined rules to prohibit it would have significant negative side effects.",0
We should ban school uniforms,Japan introduced school uniforms in the late 19th century.,0
We should ban lotteries,"Lotteries, like any form of gambling, are susceptible to fraud, despite the high degree of scrutiny claimed by the organizers.",1
We should abandon social media,"So, saying that people want a revolution because of ""social media"" is akin to saying that people want a revolution because of the telephone.",0
We should ban whaling,"In 2003, Iceland proposed to resume research whaling after a 14-year interruption.",1
Tattoos should be banned,"Durant has a tattoo on his left biceps reading ""Against all odds - I'm gonna shine"", which Durant believes explains his life [REF].",0
We should ban extreme sports,"Sports metaphors are often used in the marketing of cult films to males, such as emphasizing the ""extreme"" nature of the film, which increases the appeal to youth subcultures fond of extreme sports [REF].",0
Sex education should be mandatory,"So-called ""sex education"" is practically always a work of deception which focuses on biology while concealing excitement-arousal, which is what interests them the most, and hides the fact that all their worries and difficulties originate from unsatisfied sexual impulses [REF].",1
We should end mandatory retirement,"In 1916, upon reaching the mandatory retirement age of an M.E.",0
We should fight urbanization,"In the other hand, the city had a great commercial movement, and good-quality touristic services, so the fast process of urbanization, had the consequence of irregular neighbourhoods [REF].",1
Sex education should be mandatory,"Proponents of abstinence-only sex education argue that this approach is superior to comprehensive sex education because it emphasizes the teaching of morality that limits sex to that within the bounds of marriage, and that sex before marriage and at a young age has heavy physical and emotional costs [REF].",1
Organ donation should be mandatory,"Spicer and Bowman argue that the 'tertiary' level ethical problems that dominate so much of the debate about healthcare ethics, such as genetics, cloning, organ donation and research, are experienced entirely differently in primary care.",0
Single-sex schools should be banned,"As time passed, several smaller schools were founded in the city through charitable gifts and bequests, including the Blue Coat school for girls in 1714; and from 1790, Sunday schools were established to help provide further learning opportunities.",0
We should prohibit tower blocks,"As well as high-rise tower blocks, Castle Vale also had 27 four-storey blocks of maisonettes, three-storey blocks of flats, over 100 bungalows and hundreds of terraced and semi-detached houses.",0
We should subsidize distance education,Blended learning programs combine distance learning with face-to-face instruction [REF].,0
We should abandon television,The international broadcaster Deutsche Welle also produces television services; however these services are mostly available via satellite.,0
We should abandon television,"Today most countries fund public radio broadcasting from the same licence fee that is used for television, although a few still have separate radio licences, or apply a lower or no fee at all for consumers who only have a radio.",0
We should subsidize journalism,"Internews also has special programs to improve reporting on the environment, humanitarian crises, public health and women's issues.",0
We should ban boxing,The fighter with the higher score at the end of the fight is ruled the winner.,0
We should cancel the speed limit,"The first regulations made were the Road Traffic (Speed Limits) Regulations, 1963 [REF] which set down a speed limit of for all roads except those subject to a built up area speed limit of or special speed limit of .",0
We should abolish electronic voting,"Markham, Ontario introduced an Internet voting system in 2003 [REF]. The system was supplied by US company Election Systems & Software at a cost of $25,000.",0
We should introduce a flat tax,"In 1987, New Zealand's Labour Finance Minister Roger Douglas announced a Guaranteed Minimum Family Income Scheme to accompany a new flat tax.",0
We should subsidize journalism,"Paul Levinson graduated from Christopher Columbus High School in the Bronx, attended the City College of New York (CCNY) in the 1960s, and received a BA in journalism from New York University in 1975; an MA in Media Studies from The New School in 1976; and a PhD from New York University in media ecology in 1979.",0
Organ donation should be mandatory,"An analysis of all reports from October 2008 to September 2009 evaluated six events and found that five of the deaths were clearly unrelated to donation, and in the remaining case they found no evidence that the donation was the cause of death [REF].",0
Suicide should be a criminal offence,"Mainstream medical bodies state that conversion therapy can be harmful because it may exploit guilt and anxiety, thereby damaging self-esteem and leading to depression and even suicide [REF].",0
We should subsidize electric cars,"Mr. Holtsmark also pointed out that ""by encouraging people who can afford it to buy a second car instead of taking buses and trains, the electric car scheme may ironically be aggravating environmental problems and causing traffic jams.""[REF][REF] .",1
Organ donation should be mandatory,"In the United States today, organ donation is done only with consent of the family or donator themselves [REF].",0
We should end mining,Since the days of the Utah Territory mining has played a major role in Utah's economy.,1
We should disband UNESCO,"The UNESCO geographic zones also give greater emphasis on administrative, rather than geographic associations.",0
We should abolish personality tests,"The idea behind these personality tests is that employers can reduce their turnover rates and prevent economic losses in the form of people prone to thievery, drug abuse, emotional disorders or violence in the workplace.",1
Suicide should be a criminal offence,Some studies have estimated that 264 British veterans and 350-500 Argentine veterans have committed suicide since 1982 [REF].,0
We should legalize polygamy," Press dispatches having been sent for political purposes, from Salt Lake City, which have been widely published, to the effect that the Utah Commission, in their recent report to the Secretary of the Interior, allege that plural marriages have been contracted in Utah since last June or during the past year, also that in public discourses the leaders of the Church have taught, encouraged and urged the continuance of the practice of polygamy- .",0
We should ban algorithmic trading,"Increasingly, the algorithms used by large brokerages and asset managers are written to the FIX Protocol's Algorithmic Trading Definition Language (FIXatdl), which allows firms receiving orders to specify exactly how their electronic orders should be expressed.",0
We should legalize the growing of coca leaf,"The legal sale and consumption of coca leaves are part of daily life for some groups of Bolivian peasants, especially those in mining and other fields of heavy labor.",1
We should fight illegal immigration,"Fifty four (54%) percent said the government should adopt policies giving illegal immigrants a better ""path to citizenship"" while 31% say there should be blanket amnesty while 15% say the current laws have to be enforced [REF].",0
We should increase gun control,The Taber and Lodge study used the emotionally charged topics of gun control and affirmative action [REF].,0
We should ban cosmetic surgery,"On 19 November 1998, Heseltine married Irish-born consultant plastic surgeon Peter Butler (born 1 September 1962), Professor of Plastic Surgery at University College London, Medical Director of the Royal Free Hospital, Hampstead, and lead surgeon of the British face transplantation team.",0
We should ban beauty contests,"A platinum bikini valued at US $9500 was made by Mappin and Webb of London in the 1977, and was worn by Miss United Kingdom in that year's Miss World beauty pageant.",0
We should protect endangered species,The definition of harm includes changes in habitat that affect endangered species.,0
We should further exploit hydroelectric dams,"The director of Kenya's Water Services Regulatory Board, John Nyaoro, argued that the dam would have no negative impact on Lake Turkana [REF].",1
We should ban strip clubs,"In 2005, revenues for the UK strip club industry, one of the fastest growing sectors of its leisure industry, were estimated to be UK£300 million [REF].",0
We should abolish zoos,The zoo is part of South West Environmental Parks Ltd which is owned by the Whitley Wildlife Conservation Trust (WWCT).,0
We should end affirmative action,"Klein's criticism that liberals' continuing support of affirmative action was eroding their moral credibility came under fire from many, including C. Eric Lincoln, Derrick Bell [REF] and the anthology Multiculturalism in the United States [",0
We should further exploit nuclear power,"Nuclear power plant accidents rank first in terms of their economic cost, accounting for 41 percent of all property damage attributed to energy accidents [REF",1
We should ban private education,"Even though education at all levels, including universities, has always been free, there is a large number of private schools and universities.",0
