premise,hypothesis,label
McCain resists the political horse trading that underlies  He has said he has no plans to modify the tobacco bill to get it passed.,"McCain resists political horse trading, and does not plan to modify the tobacco bill to get it passed or modify any other bills ever again.",1
right so and we uh,So maybe right,1
Ca'daan's heart jumped again and he bowed his head low.,Ca'daan remained calm and bowed his head.,0
"The Texas Equal Access to Justice Foundation, the largest Texas-based funding source for legal aid organizations in the state, has awarded Justice Deborah Hankinson the prestigious Harold F. Kleinman award for outstanding contributions to the delivery of civil legal services to the poor.",The Texas Equal access to Justice foundation gives no money to legal aid charities.,0
"To the north of the church, the Rue Bonaparte takes you to the prestigious Ecole des Beaux-Arts.","South of the church, you'll find the Ecole des Beaux-Arts.",0
"I've always felt that if anyone was to run Mr. Brown to earth, Peel Edgerton would be the man.",Peel Edgerton never like Mr. Brown and was owed money by him.,1
"It was produced by Kazan and Tennessee Williams, and adapted by Williams from his own one-act play ""27 Wagons Full of Cotton"".","It was produced by Tim Roth and Tennessee Williams, and adapted by Williams from his own one-act play ""27 Wagons Full of Cotton"".",0
Once they came to look at me.,I was interesting to them. ,1
"The best case of the agency is best (everyone behaves and is happy), but the worst case of the agency is worst overall (all the children go into hysterics at once).",The best case of the agency is when everyone is behaved and is happy because they are able to be more productive then.,1
"Besides denying reproductive freedom to women, such efforts would increase the number of children born and reared in impoverished single-parent families.",This means women can't have babies.,0
She is buried in Caleeck.,Many come to Caleeck to honor her after her death. ,1
"He fell back, sliding in the dust at the feet of the crowd.",He slid into the dust surrounding the fire pit. ,0
The Time cover story says that Soccer Mama mania was carefully orchestrated by the sport's steering committee and sponsors such as Nike but that the enormous crowds shocked even organizers.,Nike declined to be a sponsor.,0
Now they argue that the single entity suppresses salaries and violates antitrust laws.,The state is saying the corporation is violating the tailgating laws. ,0
"With this increased focus on agency accountability also came recognition of the need to elevate the agenciesa information management positions to more strategic, executive, levels, comparable to the CFO positions created in 1990.",The only CFO positions in the agencies were created in 1995.,0
"The choice of a discount rate, and its associated conceptual basis, is a topic of ongoing discussion within the federal government.",The government is still torn in between the discount rate and the conceptual basis.,1
"The competition, including its closing ceremonies, was broadcast live on Vietnamese carrier VTV3.","The competition, including its opening and closing ceremonies, was broadcast live on Vietnamese carrier VTV3.",1
Thick clouds masked the sky for the Braun sponsored event as the crowd looked up at the raised platform while a small group of bike stunt riders watched one rider land on his feet while his bike was still in the air.,A group of bike stunt riders are at an event.,1
"And if there was a bit of buggery and whatnot going on up in the balcony, what of it?",Someone punched a guy on the balcony. ,1
Professor Rogers began her career by clerking for The Honorable Thomas D. Lambros of the United States District Court for the Northern District of Ohio.,Professor Rogers has always been a clerk to him.,0
"Furthermore, the source of the invested balances is predominantly revenue earned from their sales of goods and services, for which the funds incurred costs of operations when that revenue was earned.","Without sales revenue, they would not have much money to invest.",1
He had never been one to pick a fight or take up a challenge.,He always picked fights and challenges.,0
i can remember uh back in the early sixties when i first started flying a light plane it was quite common for me to take off from uh local airport here and see the uh Appalachian mountains and the Chesapeake Bay at the same time,I was in college when I first began flying a light plane.,1
"In their formidable Cetello Estense, a 14th-century moated fortress that is this lovely town's centerpiece, guides tell delightfully dubious stories of what went on in the damp dungeons.",The guides likento tell made up stories to visitors of the Cetello Estense. ,1
Some of the palm trees in the area provide shade for beach resorts in Goa and Kerala.,Goa is known for being 100% deforested. ,0
"According to the AMS program manager, the interactive comment process changed the dynamic of rulemaking participation.",The program manager had spent a lot of time thinking about the outcomes.,1
"Atlantic Treaty Organization, the Balkans remain volatile.",The organization is watching the state of the Balkans.,1
uh-huh uh-huh you did well i i venture to say your you and your kids if you have any would enjoy the Amiga better,"If you have kids, you'll hate the Amiga.",0
uh but other than that i just didn't have time to go to the movies you know,I had all the time in the world to see movies.,0
It made Jon gag.,Jon enjoys throwing up. ,0
"For a good view over the port, the Baie des Anges, and the mountain backdrop, climb up to the little park on top of the hill still known as Le Ceteau, even though its castle was destroyed centuries ago.",The view over Baie des Anges is far more pleasant than the view of the mountain backdrop.,1
"This man holds a teddy bear by the nostrils with one hand, and a microphone in the other.",A man is holding a microphone,1
Such experience better enables the CIOs to work with business managers to build a shared vision for meeting mission needs.,They have put in a lot of time and effort.,1
i enjoy reading novels then uh you know more serious stuff,Serious books are better than silly books.,1
The National Technology Assistance Project (NTAP) coordinated by the Legal Aid Society of Orange County will help grantees with management or technology issues arising from their grants.,The Legal Aid Society of Orange County does not provide any assistance to grantees. ,0
" He had to depend on what was available, since magic couldn't produce any needed device and since the people here had depended on magic too long to develop the other necessary skills.",The people here could not help him with the science.,1
oh i see oh okay but if they do then you're you're pretty well,"If they don't, then you're not really",0
okay well i enjoyed talking to you,"Don't talk to me anymore, you aren't a nice person.",0
"The prisoner, of course.",Certainly not the prisoner.,0
no i do not i work for GTE,I am currently unemployed.,0
The evidence?,We have no evidence.,0
"It'll be a tough job, though. ",It won't be a hard job.,0
There are two people sitting and eating ice cream while others in the background are walking.,People are sitting and eating ice cream.,1
A large amount of persons flying kites in a park.,one person is flying his kite.,0
Teodoro Trinfan's come in with some news you oughta hear. ,You'll be very interested in hearing Teodoro Trinfan's news.,1
I disarmed him easily and before his rapier touched the dirt my own had pierced him through his breast and out his back.,"I fumbled, and my weapon dropped into the sand.  I deflected his next blow with my steel buckler, and rolled to retrieve it before he pressed his advantage further.",0
"Women, you will notice, bathe in full sari.",You'll notice the women bathing fully dressed to stay warm.,1
"Crazy, hey?",Always wild. ,1
all right see you later bud bye-bye,"Hello, friend, good to meet you.",0
"is looking for more funding in a year when there is a $1 billion shortfall, said House Speaker Michael E. Busch, an Anne Arundel County Democrat.",The shortfall is extremely detrimental to the house.,1
"The English modeled the town and its buildings on those of their homeland, and one can imagine the village greens, tennis and golf clubs, and grassy verges taken from a typical London suburb.",The buildings that the English built are still standing today.,1
"18 Best  DOD Teaming Practices Not Achieving Potential Results (GAO-01-510,Apr.",One teaming practice includes meeting out of work.,1
"The rule requires employers to establish and maintain a respiratory protection program and includes requirements for program administration; worksite-specific procedures; respirator selection; employee training; fit testing; medical evaluation; respirator use; cleaning, maintenance, and repair; and other provisions.",Employers aren't expected to offer fitness training under the new rule.,0
"But despite Nasser's humiliation, die-hards still cling to his legacy and excoriate those who dare doubt its ultimate triumph.",Nasser lost all his supporters in his humiliation. ,0
to well and the fact what it is is it's making it possible to live beyond our means um because,We haven't found a way to live beyond our means.,0
"possibly most, of these individuals with these problems would have no other source of legal assistance.",People with these problems do not need help.,0
Table 2 has the same format as Table 1 and shows the breakdown of First-Class Mail by use.,Table 3 is also in a similar format and breaks down Priority Mail by use.,1
A group of people playing guitars and singing.,The group is watching television and waiting for their lottery numbers to come up.,0
"Some 250,000 people pack into the place in summer.","More than 400,000 people come here every summer.",0
"The northernmost Temple of Ceres was built around 500 b.c. , and was later used as a church in the early Middle Ages, as attested by three Christian tombs.",The Temple of Ceres crumbled in a 1988 earthquake.,1
"Evelyn Howard had been right in her facts, though her animosity against Alfred Inglethorp had caused her to jump to the conclusion that he was the person concerned. ",Alfred Inglethorp was Evelyn Howard's arch-enemy.,1
"Annually, $3.",The amount will increase next year.,1
"Buchanan pities the Lone Eagle, who he says suffered for the rest of his life--and beyond for uttering three short paragraphs.",The Lone Eagle suffered from health problems.,1
"The second choice is a simple mathematical choice--as Landsburg points out, $500,000 is a lot more welcome than $110,000.","He sees no downside in choosing the choice with the larger sum over the other, smaller one.",1
"Don't expect to be swinging much after midnight, even in towns.",Things stay open all night because it's a place to party.,0
"From 1998 through 2000, the federal government achieved surpluses, shifting from being a drain on net national saving to become a contributor to it.","Of the three years, 1999 provided the largest surplus.",1
The surrounding warehouse districts have interesting stores for souvenir browsing.,Stores in the warehouse districts are open every day but Sunday. ,1
A white dog is walking on a rocky hillside.,A dog walks outside.,1
"Keeping the exterior much as it was, Italian architect Gae Aulenti adapted the interior to house many of the previously scattered works of that period, including the superb Impressionist collections formerly held in the Jeu de Paume.",The outside was completely raised and rebuilt from the ground up.,0
"I couldn't, thank you, Sir James.",Sir James has done a favour for me.,1
"But if you do, kill them.","If the situation is that, you should kill them because it will be necessary.",1
A woman in a tan top and jeans is sitting on a bench wearing headphones.,A woman at the beach is eating ice cream.,0
"She's on top of you, moving forward and back.",She's on top of you trying to kill you.,1
"It confers no reproductive advantage, so there's no reason we should have evolved brains capable of thinking about such a question.",Our brain has only evolved enough to be able to reproduce effectively. ,0
"Croseng O'Connell Bridge, there are fine views along the The Custom House is on the right and to the left is the equally splendid Four Courts.",Next to the Four Courts you can see the most magnificent library.,1
"Each German Army also had an "" Armeeoberkommando "", Army Command.","Each German Army also had an ""Armeeoberkommando"", Army Command, or AOK.",1
Carbon-dating traced the remains of Kennewick Man to between 7265 and 7535 B.C.,The Kennewick Man remains were carbon-dated to between 56 and 6535 B.C.,0
"A thorough risk assessment also allows entities to target high-risk areas and, therefore, to focus often limited resources where the greatest exposure exists.",A risk assessment is 90% effective in utilizing limited resources effectively.,1
"The band consists of Perry Farrell vocals, Dave Navarro guitar, Stephen Perkins drums.","The band consists of Perry Farrell (vocals), Dave Navarro (guitar), Stephen Perkins (drums) and Chris Chaney (bass).",1
"A young woman in a green ""Aeropostale"" shirt and a green bracelet with a black purse, looking down with pursed lips.",The shirt is white.,0
The silk gives the carpets their unique sheen.,Silk carpets are expensive.,1
2) This particular instance of it stinks.,The instance is glorious. ,0
Her wrist broke when I grabbed her and threw her over her large oak table.,I snapped her wrist in three places.,1
"Despite this looming financial problem, pressure is mounting to update Medicare's outdated benefit design.",Medicare is universally considered to be without any problems.,0
"Fried chicken, fried chicken, fried chicken.","Hamburger, hamburger, hamburger.",0
"The spiral of bronze bas-reliefs on the Vend??me column, commemorating Napoleon's victories and topped by a statue of the emperor himself, was cast from 1,250 cannons captured from the Austrians at Austerlitz.",The spiral commemorating Napoleon's victories were cast by 1300 cannons.,0
wasn't that fabulous and and Driving Miss Daisy,It was terrible that Miss Daisy was not present and driven around.,0
yeah but well they vary from from place to place it's hard to tell you know how well they've been kept up how old they are and these are probably oh one of the nicest that i found and uh,Things vary in quality based on where you are so you can never be quite sure.,1
The result is fascinating without being exactly moving.,The result surprised a lot of experts.,1
huh all right well listen i've got to go,"I'm sorry, I have to do laundry. ",1
"The women are also responsible for one other characteristic of Indian  architecture  cow-dung patties which are preserved and kept for fuel and artfully shaped into mounds with shapes that differ from region to region, some of them resembling a Buddhist stupa, a Hindu gopuram, or even a Moslem minaret.",The cow-dung patties are an efficient fuel source.,1
… The war has disturbed me… .,"The war disturbed me, though to be honest I was a little disturbed before, too. ",1
"This is kind of a different problem from what I've seen in your column, but here  I am not yet 30 and continue to move up in my rather buttoned-up company, where most of the male executives are married to, shall we say, plain women.",My coworkers are married to supermodels.,0
When are they appropriately used in evaluation?,There are guidelines for when they can be used in an evaluation.,1
"No detailed analysis of the impact on small entities was performed because of the relatively low cost of implementation estimated by EPA (for most manufacturers substantially less than 1 percent of sales the first year and considerably less in subsequent years; for non-manufacturers less than $1,000 for initial compliance).",A significantly detailed analysis was carried out because the EPA warned of an expensive burden on small entities.,0
"Bernard Dempsey Jr., an attorney with Western Michigan Legal Services, the group that represents the tenants, said Alamo Hills gave the displaced families very limited opportunity to remove belongings.",Bernard Dempsey Jr has been with Western Michigan Legal Services since he graduated college. ,1
"With twin, crescent-moon beaches, 7 km (4 miles) of golden sands, and an outstanding climate, Benidorm is one of Spain's most popular resorts.",Benidorm has an international airport close to the town center.,1
"In some cases, facility owners may choose to retrofit their plants with both SCR and FGD technology to achieve both NOX and SO2 reduction.",These facility modifications are very expensive but less expensive than new facilities.,1
"Begun in 1368, it was the main royal lodging for centuries until it was battered and left a wreck during the Lang Siege of 1571 73.",The Lang Siege of 1571 was a very important event.,1
"Off the road back to the capital lies the valley's fourth most important town, Kirtipur.",Kirtipur is on the road back to the capital.,1
A woman is exercising in a tropical setting.,A woman is resting in a hammock outside.,0
"For individuals, assets accumulated by saving provide a key source of retirement income (see Q1."," For many, assets accumulated by saving do not provide a key source of retirement income ",0
"The Krewski-Harvard Six Cities study used a smaller sample of individuals from fewer cities than the study by Pope, et al.",The Six Cities study used a large sample of individuals from fewer cities than Pope did.,0
"Over the past 25 years, the Postal Service has filed many such mail classification requests with the Commission, seeking either to establish new postal products or to reconfigure pre-existing services.",Classifying mail is important to the function of the USPS.,1
Thus a male chimp--call him Bill--might be making nice to his liberal internationalist friends one day and signing simian bills sponsored by Jesse Helms the next.,A male chimp would have at least some inkling of the political meaning of his activities.,1
um i i just think that has something to do with why Latinos are tend to be you know the meek the more meek you know they tend to be more not stand up for their rights as much they're not really sure of what they are i don't think,Latinos don't want to be part of the decision-making process.,1
"Standard costing may be based on either absorption or direct costing principles, and may apply either to all or some cost elements.",They were based on the absorption of water.,0
"The momentum for change was growing, and in 1831 a black lay preacher named  Daddy  Sam Sharpe led a revolt of 20,000 slaves at Montego Bay.",Daddy Sam Sharpe had many supporters of his revolt.,1
well i'm sure that's still going to happen,I am certain that it was banned forever.,0
"La Vila, as Villajoyosa is affectionately called, boasts some Roman, Moorish, and Visigothic remains, and Spain's oldest chocolate factories.",The chocolate factories produce confections that taste quite different.,1
"However, assuming the procedural requirements of Chapter 36 are met, changes negotiated by the Postal Service and a mail user for their mutual benefit may merit recommendation under the applicable statutory standards.",Changes negotiated by the Postal Service are too regular and prohibit my postal services.,0
"At the same time, the lead CEF analysts have responded to the EIA assertions by citing relevant economic literature and noting that the CEF study is one of the most carefully documented and complete analysis of U.S. energy futures that has ever been funded by the U.S. government (Koomey, et al, 2001).",the CEF study is one of the most important documents for the US government,1
"A West Tennessee nonprofit organization will use a $300,000 federal grant to hire an attorney and a Spanish-speaking paralegal to help provide legal assistance to domestic violence victims.",Nonprofit organizations are ineligible for federal grants.,0
"Another bandwidth initiative, Broadcast PC , will exploit the unused bandwidth in broadcast television signals to beam content.",There is no unused bandwidth available.,0
"For 300 years, until forcibly united in the late 18th century, they were separate kingdoms with related, but not always friendly, Malla rulers.","The kingdoms were sometimes at war, but often allied against other threats.",1
"'For some reason, I expected that you'd dream in Russian,' I said",I though she was Spanish.,0
yeah do the oil change oil and filter and air filters and spark plugs and the like can't do much in the way of actual tune up now that the car now that computers taken over that control,Computers haven't had an impact because you still have to do all the tune up stuff.,0
"She was very pale, but smiling. ",She was pale because she was afraid.,1
but when they go into the homes they lose weight and like because of the institutional food you know i think it's fine but you know my taste um buds are pretty uh flexible and here they are they're always used to these,There is not much variety in institutional food. ,1
i mean you can just sit you know those little booklets that come along with it and you can just see the things that they're trying to show with music my my little boy has gotten so into it that he's identified the the people that have written certain songs and he buys the,My kid knows all the songs people have written for the orchestra.,1
oh goodness they're,"Oh my, I'm ",0
Its average annual growth rate fell from 9.9 percent in 1987-90 to negative 1.6 percent in 1990-93 and further to negative,The average annual growth rate has doubled in the 1990s.,0
"The blog is composed primarily of text messages, almost always the last ones received from ex - lovers, former friends.","The blog is composed primarily of text messages, almost always the last ones received from ex-lovers, deceased family members, or former friends.",1
"We will meet him tomorrow,"" said Jon.",We will never get to meet.,0
The problem with this idea is that it violates the 1978 Humane Slaughter Law.,The problem with this and many ideas is how they break a specific law I made.,1
"Others, like Indiana and Colorado, have one service area encompassing the entire state and one corresponding statewide program.","Indiana and Colorado have one service area encompassing the entire state and even some of their bordering states, too!",1
But the pressure to cut benefits or sharply raise payroll taxes would be enormous.,Pressure to raise payroll taxes and cut benefits would be extremely small.,0
These models are good only for small to moderate movements from the current position.,"The models are only good for small movements, like less than 4 degrees.",1
"The 9-4X began production in 2011 and was built at Ramos Arizpe, Mexico but stopped before the end of the year due to the bankruptcy of Saab.","The 9-4X began production in 2011 and was built at Ramos Arizpe, Harlem but stopped before the end of the year due to the bankruptcy of Saab.",0
"It has been an important settlement since the 14th century and was the largest port in Scotland for many years, handling Edinburgh's cargo.",It was never the largest port in Scotland.  ,0
"Hampered at every turn by my colleagues, fettered by the democratic system of which I should be the mere figurehead! ","I was hampered at every turn by my colleagues, though in hindsight my work at the time wasn't what any of us would call ethical, anyway. ",1
"At the northwest corner of Retiro Park is Puerta de Al?­ca?­l?¡, a monumental triumphal arch surmounted by warrior-angels, honoring Carlos III.",The arch is a favorite spot for young couples to meet. ,1
"Usually each member of the supply chain produces a different product service, and the products combine to satisfy a common need.","Usually each member of the supply chain produces a different product or (market-specific) service, and the products combine to satisfy a common need.",1
"Marriage is called all sorts of things, a haven, and a refuge, and a crowning glory, and a state of bondage, and lots more. But do you know what I think it is?",Everyone thinks that marriage is a wonderful thing.,0
"To keep the colors fresh, he dabbed the carcass with blood from a pail, then grabbed his paintbrushes to capture those lurid reds on canvas.",He used the red dye of beets to paint his canvas.,0
"According to conspiracy rules, all politicians were supposed to receive credit (new respect) for turning more liberal.",Politicians are shunned for becoming liberal. ,0
Better shops are air-conditioned.,Cheaper stores also have air-conditioning.,0
"One day, soon perhaps, the public will have to stop gaping at the ability of Boris Yeltsin 'to be good at times of crisis.",The public thought Yeltsin failed at times of crisis.,0
the benefits are funny,The benefits aren't very fair.,1
Teodoro tells me that they've found traces of shod horses being driven back in the canyons.,Teodoro said that no one had found traces of horses.,0
Close banks for one day to allow them to reorganize,Allow banks to reorganize themselves on a day off on Friday.,1
but when it came to ever giving kind any kind of tune ups or things like that i'd take it into the shop anything basically with the yeah,"I would do everything myself, tune ups, repairs you name it.",0
yeah it's that's a tough one to play i i used to play it when i was younger but,"I played it back in high school, and even got a letter for it, but it was difficult. ",1
"The sky, he explained pompously, was a great mystery that only an adept might communicate to another.",No one really knew much about the sky. ,1
Contemporary conservatives believe that the most powerful institutions in American society are part of a liberal conspiracy.,Conservatives assert that liberals in America are all chihuahuas.,0
"Then the three were asked to comment on these past thoughts (none found any errors, of course).","Several people were asked to comment on the future thoughts, and they found several errors.",0
"The discount might be justified on the basis of nothing more than an interest in cost-based rates, and worksharing might not be an issue.",Worksharing is not an issue.,1
"The island's burgeoning economic significance propelled population growth, and by the middle of the 15th century Madeira was home to 800 families.",Madeira proved to be uninhabitable.,0
kind of myths that we've come a long way just in terms of our society and race relations and things like that and,Our society has stayed the same in terms of race relations.,0
"I took that as a polite dismissal, and worked my way out of the cockpit just as the train began to move again.","I took that as him telling me to leave, so I walked out of the cockpit like he asked.",1
But the Clinton camp's message was less nuanced and therefore more effective.,The Clinton camp's rivals' messages were much more nuanced. ,1
But first it has to grab your attention from a three-quarter inch space on the computer screen.,It needs to grab your attention from a small space on the monitor in order for the campaign to be successful.,1
"For ideological free-marketeers (like myself), theories like Smith and Wright's can be intellectually jarring.","I belong to the ideologies of free-marketeers, but theories presented by Smith and Wright shock me since we think so differently.",1
"Two women, more defiant than the others, lay dead.",The women were shot in the head after disobeying the general. ,1
"Traditional thinking on employee ownership held that employees would sacrifice long-term gains for short-term rewards, which is why economists consulting in post-Communist Eastern Europe disparaged worker ownership.",It was believed that the employees choose not to accept monthly salary.,0
"CMS contracts with over 50 insurance companies to process fee-for-service claims; however, CMS is responsible for overseeing these contractors and for ensuring that claims are paid accurately and efficiently.",The insurance companies are all good ones. ,1
"The tomb of Job Charnock, the Company official who founded the city of Caletta, is in the church cemetery.",The Tomb of Job Charnock is not in the church cemetery.,0
"Also in Le the Amazona Zoological Garden, with alligator-like caimans, snakes, armadillos, and other delights.",The zoological gardens was shut down.,0
Star Wars was never reviewed well by critics.,Critics often claimed Star Wars had poor acting and an unmemorable plot.,1
Over Here is a 2007 drama film directed by Jon Jost.,Over Here is a 2007 drama film directed by Jon Jost and starring Ryan Harper Gray.,1
Everybody wins.,Everyone loses.,0
Increases in resource for civil legal assistance have ,Legal assistance is a great benefit.,1
"With most plants needing to install control equipment to meet these requirements, it is likely that this approach would lead to installation of controls that become obsolete and stranded capital investments as additional requirements are promulgated.","Most plants need to install control equipment to meet requirements, but it a long process to get that done.",1
It's called offset behavior.,It's called inset behavior.,0
For wines you many want to wait for your tour of the vineyards or the wider selection available at Beaune.,"If you want to shop for wines, you shouldn't go at Beaune because they don't sell any.",0
And it gives a package of free collectibles to any Webmaster who picks up its banner.,It makes the Webmaster pay for the package.,0
Ca'daan took them to the back of the mines and the weary eyes of the villagers followed.,Ca'daan led them outside.,0
"Finish it, someone yelled.","Keep going, someone yelled.",0
"In the crypt you can see a forest of heavy, rough stone pillars supporting the upper church, and displays that include stocks dating from 1670, medieval carved stones, and an odd exhibit a mummified cat and a rat, found in the organ pipes.",The crypt has a reliquary on display.,1
"News , an article claims that German Chancellor Helmut Kohl may well lose this month's election.",German Chancellor Helmut Kohl has not been very popular with voters.,1
He drew forward two chairs.,He brought forward two chairs so they would have enough at the dinner table.,1
and there's rats in the attic you know,There is nothing in the attic.,0
"He snapped his fingers and lighted it from a little flame that sprang up, blowing clouds of bright green smoke from his mouth.",He clicked his tongue and a flame appeared.,0
This man is trying to make his wife laugh by blowing bubbles in the bathtub.,"There is a man outside, hanging up laundry.",0
Dostoyevsky wrote a book called The Idiot about a guy who is unprepossessing and naturally holy.,Dostoyesky's book was a best-seller for a year.,1
Stock Market Fluctuations and Consumption  Some Recent Evidence.,Consumption is wholly unrelated to the stock markets.,0
"But some were straight and tall, some were squat and fairy-colored and others blossomed from thin stalks into impossibly bulbous, minareted domes, like long-stemmed tulips reproduced in stone.","They were all identical in shape and size, nothing about their appearance was particularly noteworthy.",0
it was difficult,It was easy.,0
"France's cathedrals, museums, and palaces deserve your attention, but they'll be much easier to appreciate if you alternate them with time at the beach or on country walks.",It's best to avoid the beaches or countryside in France.,0
He has collaborated on many occasions with Wyclef Jean during Muzion days and as a solo artist.,He has collaborated on many occasions with Wyclef Jean during Torres days and as a solo artist.,0
"In this case, it is the red-brick and gray-stone remains of an arch from the Urakiai Catholic Church, at the time the largest church in Asia.",The Urakiai Catholic Church is in ruins next to the arch remains.,1
"In addition, the Inspector General has said that GSA's organizational structure does not seem to match the responsibility for managing programs with the authority to do so.",GSA's structure is the same as others'.,0
"People are the source of all process improvement, technological innovation, and environmental enhancements.",Computers are the sole drivers of innovation.,0
"no indignation, no passion for justice, only woe, woe, woe, as he felt himself falling,",He was falling down the stairs.,1
Leave it to me. She bent down.,"She bent down and proposed that you can rely on her to do it, since she had the most training. .",1
"He had made the stance his own now, not the strict stance of the duelmasters of the north but his own relaxed stance prepared for any attack that might come his way.","He always followed what the others did, especially those from the north.",0
"That night, I slept to the soothing rattle of the metro-tracks outside.",I could not sleep at all with the noise from the metro tracks.,0
"She lived abroad continuously from 1904 until 1934, when she returned for a U.S. lecture tour and then departed, never to return.","She lived in France for 7 years, from 1904 to 1911, and then moved to Germany.",1
" Many of the items are self-explanatory, which is fortunate as most descriptions are printed in Spanish only.",The items are self-explanatory,1
It's about time.,It might be about time.,1
that did that because i know that the the preceding the preceding day Thursday i got my first sunburn for the season out on uh Ocean City Beach,I had spent the day on the beach without sunscreen and was burnt to a crisp.,1
"Freisinger was selected for the 1940 Olympics, but they were canceled due to World War II.","Freisinger was selected for the 1941 Olympics, but they were canceled due to World War II.",0
"For a refreshing look at modern urban development, visit the new, neoclassical Antigone quarter, just on the opposite side of the Place de la Comedie from the old town.",Next to the Place de la Comedie from the old town is the Antigone quarter.,0
"With its garish pagodas, artificial caves, and brightly painted statues of well-known Taoist and Buddhist legends, the garden is an obvious photo opportunity.",There are no pagodas in the garden at all.  ,0
Behavioral risk factors in emergency department  a multisite survey.,The multisite survey is going to be the first of many attempts to research the matter more thoroughly.,1
"Asked about abortion the other day on CNN, Republican National Committee Chairman Jim Nicholson also invoked what is apparently the party-line  inclusive party.",The Republican politicians and spokespeople rely on the party-line when it comes to abortion because their constituents insist on it.,1
"Title 7 of GAO's PolicyandProceduresManual,section 7.4.E.",The 8th title of GAO's Policy and Procedures Manual.,0
"meets its purpose of providing basic information to individual workers, but further improvement is always possible.",Does not meet its purpose of providing the basic information necessary.,0
"See you Aug. 12, or soon thereafter, we hope.",The person was going to attend on August 12.,1
"However, that Executive Order has been replaced by Executive Order 5","Today, the Executive Order has been replaced by a new one.",1
and i keep thinking you know uh gifted is is Einstein or you know uh musical prodigies it's it's not a kid who's you know precocious,Musical prodigies are as smart as Einstein. ,0
"Soon after his arrival in Spain, the young man inherited the title of Holy Roman Emperor, as Charles V. The responsibilities of the crown kept him busy away from the royal residences of Toledo, Segovia, Valladolid, and Madrid.","When he arrived in Spain, the young man was put to death and his brother rose to the throne.",0
There was no patience for the good old Burkean conceit that legislators should sometimes rise above the wishes of their constituents.,The practice of ignoring constituents by legislators used to be tolerated but is not anymore.,1
"Thus, for example, if the volume in the first quintile were to double, total cost would increase by 29 percent.","Similarly, if the volume of the third quintile was cut in half, the cost would decrease by 25 percent. ",1
"Just a few years ago, pro bono work usually meant litigation.",Litigation was never implied by pro bono work.,0
"I mastered the words portiere  (goalkeeper), colpo di testa  (header), and quattro minuti di ricupero  (four minutes of injury time).","The words portiere, colpo di testa and quattro minuti di ricupero are from the Spanish language. ",1
"Studio 54 delivered this critical mass almost every night, plus another 1,500 or so people who were simply beautiful or interesting to look at, plus Haden-Guest and me.",Studio 54 was only attended by a small handful of people every night.,0
"Last month, the Shopping Avenger also put out a call for airline and pest-control horror stories.",The Shopping Avenger is a bi-weekly magazine that is mostly just used to sell advertizing.,1
"If any are left, we need to move them in.",Leave them behind. They're useless.,0
The Kal stood next to Ca'daan while the others finished off the few whipmasters who had survived.,The Kal was protecting Ca'daan.,1
yeah yeah i mean you figure there's got to be more to life than sitting here playing with this child,Sitting there playing with this child must feel like a waste of time.,1
uh especially you you want to get a mixed bag of course dimes quarters and halves,Fill the bag entirely with dimes and nothing else.,0
that's a TI benefit new,There is no benefits at TI.,0
"The next year, he was expelled from Rand as a security risk after local police caught him engaging in a lewd act in a public men's room near Muscle Beach.",They kept him at Rand even though he was arrested,0
and you know so he does this like everyday you know deals with this and he said you know you could pretty much if you sit on a jury know right now you could be sure that they will serve just about a quarter of whatever you give them you know,He has been experiencing these sentencings for years.,1
Magazines are sold or are otherwise circulated amongst the parishioners of the relevant church or village.,Magazines are sold or are otherwise circulated amongst the parishioners of the relevant church or village.,1
"But I'm glad it's not finger dwarfism, like it happened to one of my doctor friends.","Good thing this isn't finger dwarfism, like Jeremy ended up with.",1
"The nave is a wonder of light and lofty proportions, enhanced by the luminous beige stone and the splendid ribbed vaulting.",There are no ribbed vaults to be found inside the nave. ,0
this is uh it's really nice out tonight almost hated to come in,It was a terrible night I am glad I came in.,0
"Washington, D.C.-based Legal Services Corp., which oversees federally funded legal aid, awarded the grant to TRLA, which serves an area extending from Austin south to the Rio Grande Valley and west to El Paso.",Legal Services Corp. decided not to offer federal legal aids to TRLA because of ethics violations.,0
those guys at one point you know they had so much money that they didn't know what to do with it,They had so much money from their father's inheritance that they were practically giving it away. ,1
course the head bangers i stay away from those entirely,I purposefully seek out head bangers as much as I can.,0
He wore a tan skin tunic with sleeves down to his forearms.,His arms were bare and he was naked.,0
"As a practical matter, most radio stations in that situation would simply drop the Forbes editorials.",Most radio stations in that situation would refuse to drop the Forbes editorials.,0
"Several toddlers in a room with many toys, a yellow lamp, a window, gray carpeting and paintings.","Several toddlers are in a room with many toys, a yellow lamp, a window, gray carpeting and paintings.",1
yeah it'd seem like they'd want to just to uh get some shade and keep their houses a little bit cooler in the summer,They want to reduce their electricity costs but keep their houses cooler.,1
Twin leather straps crossed his chest and he wore leather breeches cut above his knees.,THe man wore black leather clothes.,1
"Years afterwards, Hardwick appeared at Swift's house, but Swift rejected him.","Years afterwards, Hardwick appeared at Swift's house, but Li Ting rejected him.",0
I do not know whether this theory is true.,I think the theory is true. ,1
uh he he has to be an outstanding physical specimen to to do what he's done,Nothing he's done would give reason to believe he's is in good physical condition. ,0
Slate could have put someone with a reasonable grasp of elementary finance and a balanced viewpoint in charge of writing a tax piece.,Slate sometimes covers tax issues.,1
